site,sp,area,rem,dts
CCP,cau,11.72,0.034982935,2
CCP,cau,11.59,0.008628128,2
CCP,cau,10.59,0.013220019,2
CCP,cau,10.27,0.033106134,2
CCP,cau,9.61,0.027055151,2
CCP,cau,9.43,0.019088017,2
CCP,cau,8.68,0.006912442,2
CCP,cau,8.64,0.019675926,2
CCP,cau,8.42,0.003562945,2
CCP,cau,8.35,0.003592814,2
CCP,cau,5.44,0.033088235,2
CCP,cau,4.98,0.016064257,2
CCP,cau,4.29,0.006993007,2
CCP,cau,4.27,0.014051522,2
CCP,cau,2.56,0.01953125,2
CCP,cau,2.35,0.021276596,2
CCP,cau,2.16,0.023148148,2
CCP,cau,1.32,0.083333333,2
CCP,cau,189.48,0.005858138,1
CCP,cau,136.2,0.025330396,1
CCP,cau,90.87,0.018708044,1
CCP,cau,82.07,0.000121847,1
CCP,cau,77.15,0.018535321,1
CCP,cau,66.73,0.007043309,1
CCP,cau,66.36,0.007685353,1
CCP,cau,62.96,0.000317662,1
CCP,cau,51.55,0.017652764,1
CCP,cau,50.53,0.000791609,1
CCP,cau,47.02,0.000425351,1
CCP,cau,46.26,0.019671422,1
CCP,cau,41.84,0.001434034,1
CCP,cau,40.8,0.005392157,1
CCP,cau,39.58,0.000757959,1
CCP,cau,38.74,0.191017037,1
CCP,cau,38.37,0.014594735,1
CCP,cau,36.52,0.006297919,1
CCP,cau,35.85,0.00334728,1
CCP,cau,33.19,0.000301296,1
CCP,cau,33.14,0.004526252,1
CCP,cau,31.82,0.026084224,1
CCP,cau,31.79,0.001887386,1
CCP,cau,31,0.001935484,1
CCP,cau,29.57,0.026378086,1
CCP,cau,27.58,0.010152284,1
CCP,cau,25.91,0.023157082,1
CCP,cau,22.53,0.011540169,1
CCP,cau,22.41,0.026327532,1
CCP,cau,22.32,0.027777778,1
CCP,cau,22.09,0.003621548,1
CCP,cau,21.76,0.002297794,1
CCP,cau,20.71,0.014968614,1
CCP,cau,20.67,0,1
CCP,cau,20.23,0.050914483,1
CCP,cau,19.85,0.001511335,1
CCP,cau,18.97,0.009488666,1
CCP,cau,17.75,0.009577465,1
CCP,cau,17.46,0.028064147,1
CCP,cau,16.98,0.114840989,1
CCP,cau,16.92,0,1
CCP,cau,16.77,0.008944544,1
CCP,cau,15.58,0.015404365,1
CCP,cau,14.72,0.014266304,1
CCP,cau,14.72,0.004755435,1
CCP,cau,14.68,0.019754768,1
CCP,cau,14.43,0.004158004,1
CCP,cau,14.19,0.023255814,1
CCP,cau,13.99,0,1
CCP,cau,13.63,0.08217168,1
CCP,cau,13.24,0.006042296,1
CCP,cau,12.82,0.030421217,1
CCP,cau,12.11,0.003303055,1
CCP,cau,11.59,0.012942192,1
CCP,cau,11.3,0.007079646,1
CCP,cau,10.65,0.010328638,1
CCP,cau,10.27,0.006815969,1
CCP,cau,10.2,0.001960784,1
CCP,cau,10.08,0.003968254,1
CCP,cau,9.49,0.022128556,1
CCP,cau,9.4,0.00212766,1
CCP,cau,8.96,0.002232143,1
CCP,cau,8.9,0.004494382,1
CCP,cau,8.84,0.001131222,1
CCP,cau,8.41,0.008323424,1
CCP,cau,8.01,0.031210986,1
CCP,cau,7.99,0.021276596,1
CCP,cau,7.81,0.012804097,1
CCP,cau,7.77,0.012870013,1
CCP,cau,7.55,0.005298013,1
CCP,cau,7.49,0.006675567,1
CCP,cau,7.4,0.027027027,1
CCP,cau,7.39,0.00405954,1
CCP,cau,7.24,0.01519337,1
CCP,cau,6.89,0.01161103,1
CCP,cau,6.84,0.010233918,1
CCP,cau,6.79,0.002945508,1
CCP,cau,6.79,0.004418262,1
CCP,cau,6.7,0.008955224,1
CCP,cau,6.64,0.036144578,1
CCP,cau,6.6,0.012121212,1
CCP,cau,6.37,0.004709576,1
CCP,cau,5.99,0.011686144,1
CCP,cau,5.84,0.001712329,1
CCP,cau,5.64,0.062056738,1
CCP,cau,5.45,0.016513761,1
CCP,cau,5.27,0.0056926,1
CCP,cau,5.26,0.058935361,1
CCP,cau,5.16,0.054263566,1
CCP,cau,5.13,0.015594542,1
CCP,cau,4.87,0.006160164,1
CCP,cau,4.79,0.010438413,1
CCP,cau,4.7,0.042553191,1
CCP,cau,4.65,0.006451613,1
CCP,cau,4.62,0.023809524,1
CCP,cau,4.56,0.004385965,1
CCP,cau,4.53,0.06401766,1
CCP,cau,4.45,0.006741573,1
CCP,cau,4.39,0.282460137,1
CCP,cau,4.27,0.007025761,1
CCP,cau,4.26,0.002347418,1
CCP,cau,4.26,0.028169014,1
CCP,cau,4.25,0.018823529,1
CCP,cau,3.98,0.010050251,1
CCP,cau,3.72,0.005376344,1
CCP,cau,3.61,0.016620499,1
CCP,cau,3.46,0.00867052,1
CCP,cau,3.4,0.005882353,1
CCP,cau,3.4,0.011764706,1
CCP,cau,3.35,0.020895522,1
CCP,cau,3.3,0.012121212,1
CCP,cau,3.29,0.021276596,1
CCP,cau,3.26,0.055214724,1
CCP,cau,3.18,0.006289308,1
CCP,cau,3.16,0.006329114,1
CCP,cau,3.13,0.073482428,1
CCP,cau,3.07,0.003257329,1
CCP,cau,2.93,0.054607509,1
CCP,cau,2.87,0.017421603,1
CCP,cau,2.48,0.008064516,1
CCP,cau,2.44,0.008196721,1
CCP,cau,2.42,0.004132231,1
CCP,cau,2.32,0.012931034,1
CCP,cau,2.29,0.056768559,1
CCP,cau,2.11,0.018957346,1
CCP,cau,1.99,0.040201005,1
CCP,cau,1.92,0.015625,1
CCP,cau,1.89,0.005291005,1
CCP,cau,1.79,0.005586592,1
CCP,cau,1.77,0.005649718,1
CCP,cau,1.75,0.211428571,1
CCP,cau,1.75,0.034285714,1
CCP,cau,1.74,0.005747126,1
CCP,cau,1.69,0,1
CCP,cau,1.35,0.074074074,1
CCP,cau,1.33,0.015037594,1
CCP,cau,1.05,0.028571429,1
CCP,cau,1.04,0.019230769,1
CCP,cau,1.03,0.019417476,1
CCP,cau,0.99,0.070707071,1
CCP,cau,0.91,0.032967033,1
CCP,cau,0.89,0.02247191,1
CCP,cau,0.84,0.011904762,1
CCP,cau,0.8,0.025,1
CCP,cau,0.68,0.029411765,1
CCP,cau,0.67,0.059701493,1
CCP,cau,0.59,0.203389831,1
CCP,cau,78.66,0,0
CCP,cau,63.24,0,0
CCP,cau,44.83,0,0
CCP,cau,42.22,0,0
CCP,cau,40.21,0,0
CCP,cau,35.13,0,0
CCP,cau,33.48,0,0
CCP,cau,32.9,0,0
CCP,cau,28.49,0,0
CCP,cau,27.98,0,0
CCP,cau,20,0,0
CCP,cau,18.79,0,0
CCP,cau,18.05,0,0
CCP,cau,16.17,0,0
CCP,cau,15.83,0,0
CCP,cau,14.13,0,0
CCP,cau,13.31,0,0
CCP,cau,13.16,0,0
CCP,cau,12.71,0,0
CCP,cau,12.37,0,0
CCP,cau,12.29,0,0
CCP,cau,11.36,0,0
CCP,cau,11.27,0,0
CCP,cau,10.99,0,0
CCP,cau,10.41,0,0
CCP,cau,10.38,0,0
CCP,cau,10.06,0,0
CCP,cau,9.73,0,0
CCP,cau,9.58,0,0
CCP,cau,9.58,0,0
CCP,cau,8.9,0,0
CCP,cau,8.24,0,0
CCP,cau,8.17,0,0
CCP,cau,7.6,0,0
CCP,cau,7.6,0,0
CCP,cau,7.46,0,0
CCP,cau,6.88,0,0
CCP,cau,6.31,0,0
CCP,cau,6.18,0,0
CCP,cau,6.16,0,0
CCP,cau,5.91,0,0
CCP,cau,5.82,0,0
CCP,cau,5.59,0,0
CCP,cau,5.56,0,0
CCP,cau,5.3,0,0
CCP,cau,5.28,0,0
CCP,cau,5.12,0,0
CCP,cau,5.03,0,0
CCP,cau,4.89,0,0
CCP,cau,4.76,0,0
CCP,cau,4.3,0,0
CCP,cau,4.2,0,0
CCP,cau,4.16,0,0
CCP,cau,3.9,0,0
CCP,cau,3.76,0,0
CCP,cau,3.7,0,0
CCP,cau,3.61,0,0
CCP,cau,3.45,0,0
CCP,cau,3.42,0,0
CCP,cau,3.21,0,0
CCP,cau,3.14,0,0
CCP,cau,3.11,0,0
CCP,cau,3.06,0,0
CCP,cau,2.77,0,0
CCP,cau,2.75,0,0
CCP,cau,2.55,0,0
CCP,cau,2.45,0,0
CCP,cau,2.42,0,0
CCP,cau,2.39,0,0
CCP,cau,2.39,0,0
CCP,cau,2.37,0,0
CCP,cau,2.31,0,0
CCP,cau,2.24,0,0
CCP,cau,2.19,0,0
CCP,cau,2.14,0,0
CCP,cau,2.11,0,0
CCP,cau,2.1,0,0
CCP,cau,2.06,0,0
CCP,cau,2,0,0
CCP,cau,1.99,0,0
CCP,cau,1.94,0,0
CCP,cau,1.86,0,0
CCP,cau,1.83,0,0
CCP,cau,1.73,0,0
CCP,cau,1.63,0,0
CCP,cau,1.61,0,0
CCP,cau,1.43,0,0
CCP,cau,1.34,0,0
CCP,cau,1.28,0,0
CCP,cau,1.28,0,0
CCP,cau,1.25,0,0
CCP,cau,1.22,0,0
CCP,cau,1.21,0,0
CCP,cau,1.18,0,0
CCP,cau,1.17,0,0
CCP,cau,1.07,0,0
CCP,cau,1.05,0,0
CCP,cau,0.97,0,0
CCP,cau,0.94,0,0
CCP,cau,0.93,0,0
CCP,cau,0.9,0,0
CCP,cau,0.88,0,0
CCP,cau,0.8,0,0
CCP,cau,0.75,0,0
CCP,cau,0.69,0,0
CCP,cau,0.64,0,0
CCP,cau,0.57,0,0
CCP,cau,0.55,0,0
CCP,cau,0.54,0,0
CCP,cau,0.53,0,0
CCP,cev,206.37,0.003682706,11
CCP,cev,72.81,0,6
CCP,cev,53.24,0.001878287,3
CCP,cev,444.76,0.008274125,2
CCP,cev,267.95,0.00940474,2
CCP,cev,119.94,0.0016675,2
CCP,cev,106.54,0.000375446,2
CCP,cev,63.07,0.124940542,2
CCP,cev,51.4,0.002140078,2
CCP,cev,42.3,0.009692671,2
CCP,cev,30.52,0.00327654,2
CCP,cev,18.48,0.000541126,2
CCP,cev,8.69,0.004602992,2
CCP,cev,206.74,0.009673987,1
CCP,cev,82.39,0.021725938,1
CCP,cev,81.12,0.000246548,1
CCP,cev,47.71,0.029972752,1
CCP,cev,38.95,0.000513479,1
CCP,cev,34.11,0.000586338,1
CCP,cev,11.56,0.000865052,1
CCP,cev,11.46,0.012216405,1
CCP,cev,65.8,0,0
CCP,cev,42.33,0,0
CCP,cev,32.84,0,0
CCP,cev,21.52,0,0
CCP,cev,17.15,0,0
CCP,cev,15.15,0,0
CCP,cev,14.89,0,0
CCP,cev,13.59,0,0
CCP,cev,9.2,0,0
CCP,cev,1.18,0,0
CCP,cev,0.95,0,0
CCP,cta,26.42,0.026116578,10
CCP,cta,73.24,0.032359366,7
CCP,cta,66.87,0.02766562,7
CCP,cta,43.11,0.051032243,7
CCP,cta,33.19,0.06056041,7
CCP,cta,31.81,0.037095253,7
CCP,cta,24.36,0.040640394,7
CCP,cta,98.56,0.009232955,6
CCP,cta,55.68,0.032507184,6
CCP,cta,48.18,0.00581154,6
CCP,cta,23.22,0.04005168,6
CCP,cta,11.92,0.130033557,6
CCP,cta,1.07,0.607476636,6
CCP,cta,113.01,0.033094416,5
CCP,cta,68.8,0.069767442,5
CCP,cta,59.55,0.003358522,5
CCP,cta,39.35,0.026937738,5
CCP,cta,35.76,0.021532438,5
CCP,cta,35.48,0.001972943,5
CCP,cta,25.34,0.033543804,5
CCP,cta,20.8,0.008173077,5
CCP,cta,17.48,0.020594966,5
CCP,cta,8.41,0.010701546,5
CCP,cta,131.94,0.005911778,4
CCP,cta,110.39,0.011957605,4
CCP,cta,100.77,0.011312891,4
CCP,cta,78.38,0.000382751,4
CCP,cta,70.72,0.004949095,4
CCP,cta,52.17,0.014951121,4
CCP,cta,41.42,0.097537422,4
CCP,cta,25.01,0.00239904,4
CCP,cta,20.79,0.070707071,4
CCP,cta,20.37,0.00490918,4
CCP,cta,18.45,0.007588076,4
CCP,cta,17.71,0.022021457,4
CCP,cta,14.13,0.036801132,4
CCP,cta,13.3,0.02481203,4
CCP,cta,11.2,0.014285714,4
CCP,cta,7.81,0.174135723,4
CCP,cta,7.37,0.008141113,4
CCP,cta,4.85,0.016494845,4
CCP,cta,218.74,0.00265155,3
CCP,cta,111.12,0.017458603,3
CCP,cta,110.09,0.046144064,3
CCP,cta,50.01,0.00359928,3
CCP,cta,39.33,0.043224002,3
CCP,cta,38.62,0.001294666,3
CCP,cta,38.03,0.006047857,3
CCP,cta,34.15,0.004099561,3
CCP,cta,34.12,0.013188746,3
CCP,cta,33.31,0.012608826,3
CCP,cta,32.63,0.289610788,3
CCP,cta,32.36,0.003090235,3
CCP,cta,31.08,0.038288288,3
CCP,cta,29.13,0.027119808,3
CCP,cta,27.62,0.002172339,3
CCP,cta,19.83,0.009581442,3
CCP,cta,18.05,0.002770083,3
CCP,cta,16.27,0.002458513,3
CCP,cta,15.29,0.0058862,3
CCP,cta,13.68,0.073099415,3
CCP,cta,12.77,0.043069695,3
CCP,cta,8.84,0.002262443,3
CCP,cta,7.23,0.055325035,3
CCP,cta,2.24,0.075892857,3
CCP,cta,2.12,0.268867925,3
CCP,cta,368.78,0.000569445,2
CCP,cta,113.55,0.001761339,2
CCP,cta,90.4,0.015376106,2
CCP,cta,81.17,0.008131083,2
CCP,cta,78.48,0.023955148,2
CCP,cta,71.41,0.017084442,2
CCP,cta,70.85,0.018913197,2
CCP,cta,56.58,0.006009191,2
CCP,cta,54.79,0.001277605,2
CCP,cta,54.54,0.00550055,2
CCP,cta,48.63,0.002878881,2
CCP,cta,48.58,0.031700288,2
CCP,cta,46.32,0.00388601,2
CCP,cta,46.13,0.017125515,2
CCP,cta,43.52,0.003446691,2
CCP,cta,40.5,0.043703704,2
CCP,cta,31.8,0.000943396,2
CCP,cta,27.69,0.008306248,2
CCP,cta,27.38,0.003652301,2
CCP,cta,25.91,0.004245465,2
CCP,cta,24.23,0.004539827,2
CCP,cta,21.66,0.001846722,2
CCP,cta,21.3,0.011267606,2
CCP,cta,18.89,0.001058761,2
CCP,cta,18.54,0.01618123,2
CCP,cta,17.36,0.005760369,2
CCP,cta,16.01,0.007495315,2
CCP,cta,15.75,0.007619048,2
CCP,cta,15.6,0.008333333,2
CCP,cta,15.06,0.011952191,2
CCP,cta,14.37,0.018789144,2
CCP,cta,14.28,0.00210084,2
CCP,cta,13.07,0.034429992,2
CCP,cta,12.95,0.005405405,2
CCP,cta,12.85,0.005447471,2
CCP,cta,12.6,0.025396825,2
CCP,cta,11.95,0.00334728,2
CCP,cta,10.66,0.001876173,2
CCP,cta,9.96,0.009036145,2
CCP,cta,7.97,0.001254705,2
CCP,cta,7.52,0.002659574,2
CCP,cta,7.38,0.004065041,2
CCP,cta,7.37,0.006784261,2
CCP,cta,7.3,0.001369863,2
CCP,cta,7.19,0,2
CCP,cta,6.5,0.004615385,2
CCP,cta,6.44,0.020186335,2
CCP,cta,6.38,0.029780564,2
CCP,cta,5.89,0.003395586,2
CCP,cta,4.98,0.010040161,2
CCP,cta,4.93,0,2
CCP,cta,4.93,0.006085193,2
CCP,cta,4.73,0.029598309,2
CCP,cta,4.6,0.002173913,2
CCP,cta,4.58,0.015283843,2
CCP,cta,4.18,0.019138756,2
CCP,cta,4.15,0.204819277,2
CCP,cta,4.05,0.002469136,2
CCP,cta,3.73,0.034852547,2
CCP,cta,3.37,0.029673591,2
CCP,cta,3.15,0.006349206,2
CCP,cta,3.05,0.009836066,2
CCP,cta,2.96,0.003378378,2
CCP,cta,2.78,0.010791367,2
CCP,cta,2.43,0.152263374,2
CCP,cta,2.43,0.028806584,2
CCP,cta,2.19,0.01369863,2
CCP,cta,2.19,0.00456621,2
CCP,cta,1.7,0.052941176,2
CCP,cta,81.22,0.002216203,1
CCP,cta,53.66,0.019567648,1
CCP,cta,51.2,0.021484375,1
CCP,cta,47.95,0.001042753,1
CCP,cta,46.88,0.006186007,1
CCP,cta,42.68,0.034442362,1
CCP,cta,42.43,0.002121141,1
CCP,cta,34.53,0.037069215,1
CCP,cta,34.07,0.011153507,1
CCP,cta,32.95,0.007890744,1
CCP,cta,31.91,0.000313381,1
CCP,cta,31.8,0.006918239,1
CCP,cta,29.3,0.000341297,1
CCP,cta,29.2,0,1
CCP,cta,21.43,0.001866542,1
CCP,cta,19.5,0.003076923,1
CCP,cta,18.31,0.001638449,1
CCP,cta,18.2,0.016483516,1
CCP,cta,17.95,0.006128134,1
CCP,cta,17.75,0,1
CCP,cta,17.61,0.009085747,1
CCP,cta,14.95,0.001337793,1
CCP,cta,14.83,0.000674309,1
CCP,cta,13.81,0.049239681,1
CCP,cta,13.31,0.00150263,1
CCP,cta,13.16,0,1
CCP,cta,13.15,0.003041825,1
CCP,cta,12.41,0.008058018,1
CCP,cta,12.32,0.008928571,1
CCP,cta,11.79,0.001696353,1
CCP,cta,11.08,0.026173285,1
CCP,cta,11.06,0.009041591,1
CCP,cta,10.48,0.010496183,1
CCP,cta,10.32,0.002906977,1
CCP,cta,9.57,0.001044932,1
CCP,cta,9.37,0.064034152,1
CCP,cta,9.32,0.004291845,1
CCP,cta,9.3,0.019354839,1
CCP,cta,8.68,0.001152074,1
CCP,cta,8.54,0.003512881,1
CCP,cta,8.16,0.033088235,1
CCP,cta,8.1,0.001234568,1
CCP,cta,8.09,0.004944376,1
CCP,cta,7.92,0.022727273,1
CCP,cta,7.64,0.001308901,1
CCP,cta,7.04,0.026988636,1
CCP,cta,6.92,0,1
CCP,cta,6.67,0.010494753,1
CCP,cta,6.62,0.001510574,1
CCP,cta,6.61,0.004538578,1
CCP,cta,6.41,0.00624025,1
CCP,cta,6.23,0.004815409,1
CCP,cta,6.21,0.003220612,1
CCP,cta,6.02,0.003322259,1
CCP,cta,5.95,0.005042017,1
CCP,cta,5.71,0.021015762,1
CCP,cta,5.48,0,1
CCP,cta,5.24,0.003816794,1
CCP,cta,5.06,0,1
CCP,cta,4.99,0.052104208,1
CCP,cta,4.71,0.002123142,1
CCP,cta,4.66,0.006437768,1
CCP,cta,4.62,0.008658009,1
CCP,cta,4.43,0.006772009,1
CCP,cta,4.02,0.009950249,1
CCP,cta,3.85,0.020779221,1
CCP,cta,3.81,0.015748031,1
CCP,cta,3.64,0.013736264,1
CCP,cta,3.6,0.066666667,1
CCP,cta,3.46,0.005780347,1
CCP,cta,3.34,0.005988024,1
CCP,cta,2.93,0.04778157,1
CCP,cta,2.56,0.00390625,1
CCP,cta,2.48,0.004032258,1
CCP,cta,2.36,0.033898305,1
CCP,cta,2.27,0,1
CCP,cta,2.27,0,1
CCP,cta,2.26,0.004424779,1
CCP,cta,2.12,0,1
CCP,cta,2.09,0,1
CCP,cta,2.02,0.004950495,1
CCP,cta,2.02,0.004950495,1
CCP,cta,2,0.005,1
CCP,cta,1.96,0.030612245,1
CCP,cta,1.82,0.005494505,1
CCP,cta,1.82,0.582417582,1
CCP,cta,1.81,0.005524862,1
CCP,cta,1.79,0,1
CCP,cta,1.73,0.005780347,1
CCP,cta,1.69,0.00591716,1
CCP,cta,1.66,0,1
CCP,cta,1.61,0.01242236,1
CCP,cta,1.59,0.037735849,1
CCP,cta,1.59,0.006289308,1
CCP,cta,1.54,0.006493506,1
CCP,cta,1.46,0.068493151,1
CCP,cta,1.28,0,1
CCP,cta,1.24,0,1
CCP,cta,1.06,0,1
CCP,cta,1.04,0,1
CCP,cta,0.99,0.02020202,1
CCP,cta,0.98,0.010204082,1
CCP,cta,0.89,0.011235955,1
CCP,cta,0.79,0,1
CCP,cta,0.77,0,1
CCP,cta,0.75,0.066666667,1
CCP,cta,0.63,0.015873016,1
CCP,cta,0.53,0,1
CCP,cta,91.89,0,0
CCP,cta,85.51,0,0
CCP,cta,58.68,0,0
CCP,cta,50.79,0,0
CCP,cta,39.29,0,0
CCP,cta,39.17,0,0
CCP,cta,34.41,0,0
CCP,cta,33.48,0,0
CCP,cta,32.86,0,0
CCP,cta,32.78,0,0
CCP,cta,29.86,0,0
CCP,cta,28.77,0,0
CCP,cta,28.23,0,0
